ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global
1,variable,PP-TIRZ,Tirzepatide (Dual GIP / GLP-1 Receptor Agonist),1,1,visible,Highest analytical grade Tirzepatide dual GIP/GLP-1 agonist lyophilized sequence. #1 cited incretin mimetic research compound in North America. Purity: ≥99.4% (HPLC/MS).,<h3>Product Specification</h3><p><strong>Tirzepatide</strong> is a synthetic 39-amino-acid linear peptide engineered with C20 fatty diacid moiety that binds selectively to both human GIP and GLP-1 receptors.</p><ul><li><strong>CAS Number:</strong> 2023788-19-2</li><li><strong>Molecular Formula:</strong> C225H348N48O68</li><li><strong>Molecular Weight:</strong> 4813.45 g/mol</li><li><strong>Purity:</strong> ≥99.4% via Reverse-Phase HPLC</li><li><strong>Physical Appearance:</strong> Sterile white lyophilized powder</li><li><strong>Storage:</strong> -20°C non-frost-free</li></ul>,,,taxable,,1,95,0,0,0.25,3.0,1.5,1.5,1,Research order confirmed. Analytical HPLC/MS batch report and cold-chain tracking dispatched.,112.00,140.00,Metabolic & Incretin Research,"Tirzepatide, GIP, GLP-1, dual agonist, metabolic, glucose homeostasis, weight research",cold-chain-freight,"wp-content/themes/phoenics-theme/assets/images/products/tirzepatide-vial.svg, wp-content/themes/phoenics-theme/assets/images/products/tirzepatide-coa.svg, wp-content/themes/phoenics-theme/assets/images/products/tirzepatide-pack.svg",,,,,,,,,0,Size / Scale,"5mg, 10mg, 15mg, 30mg",1,1,Package Configuration,"1 Vial, 3 Vials (10% Off), 5 Vials (15% Off), 10 Vials Kit (25% Off)",1,1
2,variable,PP-RETA,Retatrutide (Triple GGG: GLP-1 / GIP / GCGR Agonist),1,1,visible,"Breakthrough triple-agonist peptide targeting GLP-1, GIP, and Glucagon receptors simultaneously. Leading next-generation metabolic research compound in the US and Canada. Purity: ≥99.3%.",<h3>Product Specification</h3><p><strong>Retatrutide</strong> is a single-peptide triple hormone receptor agonist designed to stimulate energy expenditure and potent lipid clearance.</p><ul><li><strong>CAS Number:</strong> 2381089-83-2</li><li><strong>Molecular Formula:</strong> C221H342N46O68</li><li><strong>Molecular Weight:</strong> 4731.33 g/mol</li><li><strong>Purity:</strong> ≥99.3% HPLC</li></ul>,,,taxable,,1,95,0,0,0.25,3.0,1.5,1.5,1,Research order confirmed. Analytical HPLC/MS batch report and cold-chain tracking dispatched.,139.00,175.00,Metabolic & Incretin Research,"Retatrutide, triple agonist, GGG, GLP-1, GIP, Glucagon, adipocyte lipolysis, thermogenesis",cold-chain-freight,"wp-content/themes/phoenics-theme/assets/images/products/retatrutide-vial.svg, wp-content/themes/phoenics-theme/assets/images/products/retatrutide-coa.svg, wp-content/themes/phoenics-theme/assets/images/products/retatrutide-pack.svg",,,,,,,,,0,Size / Scale,"5mg, 10mg, 15mg",1,1,Package Configuration,"1 Vial, 3 Vials (10% Off), 5 Vials (15% Off), 10 Vials Kit (25% Off)",1,1
3,variable,PP-SEMA,Semaglutide (Selective GLP-1 Receptor Agonist),1,1,visible,High-purity GLP-1 receptor agonist peptide functionalized with diacid spacer and albumin-binding C18 chain. Benchmark standard for metabolic signaling. Purity: ≥99.5%.,<h3>Product Specification</h3><p><strong>Semaglutide</strong> is a modified GLP-1 analog with Aib at position 8 and Arg at position 34.</p><ul><li><strong>CAS Number:</strong> 910463-68-2</li><li><strong>Molecular Formula:</strong> C187H291N45O59</li><li><strong>Molecular Weight:</strong> 4113.58 g/mol</li><li><strong>Purity:</strong> ≥99.5%</li></ul>,,,taxable,,1,95,0,0,0.25,3.0,1.5,1.5,1,Research order confirmed. Analytical HPLC/MS batch report and cold-chain tracking dispatched.,89.00,115.00,Metabolic & Incretin Research,"Semaglutide, GLP-1, incretin, insulin secretion, appetite pathways, satiety",cold-chain-freight,"wp-content/themes/phoenics-theme/assets/images/products/semaglutide-vial.svg, wp-content/themes/phoenics-theme/assets/images/products/semaglutide-coa.svg, wp-content/themes/phoenics-theme/assets/images/products/semaglutide-pack.svg",,,,,,,,,0,Size / Scale,"2mg, 5mg, 10mg",1,1,Package Configuration,"1 Vial, 3 Vials (10% Off), 5 Vials (15% Off), 10 Vials Kit (25% Off)",1,1
4,variable,PP-CAGRI,Cagrilintide (Long-Acting Amylin Analog),1,1,visible,Acylated dual amylin and calcitonin receptor agonist. Extensively investigated in combination with GLP-1 analogs for non-leptin satiety neuro-signaling. Purity: ≥99.2%.,<h3>Product Specification</h3><p><strong>Cagrilintide</strong> is a synthetic peptide analog of human amylin with extended plasma half-life.</p><ul><li><strong>CAS Number:</strong> 1415456-99-3</li><li><strong>Molecular Formula:</strong> C203H311N53O62S</li><li><strong>Molecular Weight:</strong> 4522.06 g/mol</li><li><strong>Purity:</strong> ≥99.2%</li></ul>,,,taxable,,1,95,0,0,0.25,3.0,1.5,1.5,1,Research order confirmed. Analytical HPLC/MS batch report and cold-chain tracking dispatched.,99.00,130.00,Metabolic & Incretin Research,"Cagrilintide, amylin, calcitonin receptor, dual synergy, satiety research",cold-chain-freight,"wp-content/themes/phoenics-theme/assets/images/products/cagrilintide-vial.svg, wp-content/themes/phoenics-theme/assets/images/products/cagrilintide-coa.svg, wp-content/themes/phoenics-theme/assets/images/products/cagrilintide-pack.svg",,,,,,,,,0,Size / Scale,"5mg, 10mg",1,1,Package Configuration,"1 Vial, 3 Vials (10% Off), 5 Vials (15% Off)",1,1
5,variable,PP-BPC157,BPC-157 (Body Protection Compound Pentadecapeptide),1,1,visible,"Ultra-pure lyophilized BPC-157. The benchmark sequence for cellular recovery, VEGF angiogenesis signaling, and extracellular matrix remodeling. Purity: ≥99.4%.",<h3>Product Specification</h3><p><strong>BPC-157</strong> is a 15-amino acid sequence derived from human gastric juice protein.</p><ul><li><strong>CAS Number:</strong> 137525-51-0</li><li><strong>Molecular Weight:</strong> 1419.5 g/mol</li><li><strong>Purity:</strong> ≥99.4%</li></ul>,,,taxable,,1,95,0,0,0.25,3.0,1.5,1.5,1,Research order confirmed. Analytical HPLC/MS batch report and cold-chain tracking dispatched.,39.00,52.00,Healing & Tissue Recovery,"BPC-157, pentadecapeptide, gastric peptide, angiogenesis, tendon healing, ligament repair",cold-chain-freight,"wp-content/themes/phoenics-theme/assets/images/products/bpc157-vial.svg, wp-content/themes/phoenics-theme/assets/images/products/bpc157-coa.svg, wp-content/themes/phoenics-theme/assets/images/products/bpc157-pack.svg",,,,,,,,,0,Size / Scale,"5mg, 10mg",1,1,Package Configuration,"1 Vial, 3 Vials (10% Off), 5 Vials (15% Off), 10 Vials Kit (25% Off)",1,1
6,variable,PP-TB500,TB-500 (Thymosin Beta-4 Active Fragment),1,1,visible,Synthetic bioactive fragment of Thymosin Beta-4 (Ac-LKKTETQ). Primary research reagent for actin filament polymerization assays. Purity: ≥99.5%.,<h3>Product Specification</h3><p><strong>TB-500</strong> corresponds to amino acids 17-23 of human Thymosin Beta-4.</p><ul><li><strong>CAS Number:</strong> 77591-33-4</li><li><strong>Molecular Weight:</strong> 4963.5 g/mol</li><li><strong>Purity:</strong> ≥99.5%</li></ul>,,,taxable,,1,95,0,0,0.25,3.0,1.5,1.5,1,Research order confirmed. Analytical HPLC/MS batch report and cold-chain tracking dispatched.,44.00,58.00,Healing & Tissue Recovery,"TB-500, Thymosin Beta-4, actin sequestering, cellular migration, cardiac tissue",cold-chain-freight,"wp-content/themes/phoenics-theme/assets/images/products/tb500-vial.svg, wp-content/themes/phoenics-theme/assets/images/products/tb500-coa.svg, wp-content/themes/phoenics-theme/assets/images/products/tb500-pack.svg",,,,,,,,,0,Size / Scale,"5mg, 10mg",1,1,Package Configuration,"1 Vial, 3 Vials (10% Off), 5 Vials (15% Off), 10 Vials Kit (25% Off)",1,1
7,variable,PP-GHKCU,GHK-Cu (Copper Tripeptide-1 Blue Powder),1,0,visible,"High-affinity Glycyl-L-Histidyl-L-Lysine chelated with Cu2+ ion. Induces collagen, elastin, and glycosaminoglycan synthesis in fibroblast cultures. Purity: ≥99.6%.",<h3>Product Specification</h3><p><strong>GHK-Cu</strong> is a bioactive copper complex widely used in dermatological and wound healing investigations.</p><ul><li><strong>CAS Number:</strong> 49557-75-7</li><li><strong>Purity:</strong> ≥99.6%</li></ul>,,,taxable,,1,95,0,0,0.25,3.0,1.5,1.5,1,Research order confirmed. Analytical HPLC/MS batch report and cold-chain tracking dispatched.,32.00,42.00,Healing & Tissue Recovery,"GHK-Cu, copper peptide, collagen synthesis, fibroblast, dermal remodeling",cold-chain-freight,"wp-content/themes/phoenics-theme/assets/images/products/ghkcu-vial.svg, wp-content/themes/phoenics-theme/assets/images/products/ghkcu-coa.svg, wp-content/themes/phoenics-theme/assets/images/products/ghkcu-pack.svg",,,,,,,,,0,Size / Scale,"50mg, 100mg",1,1,Package Configuration,"1 Vial, 3 Vials (10% Off), 5 Vials (15% Off)",1,1
8,variable,PP-CJCIPAM,CJC-1295 + Ipamorelin Synergistic Blend (5mg + 5mg),1,0,visible,Co-lyophilized synergistic research blend containing 5mg CJC-1295 (No DAC) + 5mg Ipamorelin. Dual pituitary receptor activation without prolactin/cortisol rise. Purity: ≥99.3%.,<h3>Product Specification</h3><p>Combines a selective GHRH analog with a selective ghrelin/GHS-R agonist.</p><ul><li><strong>Ratio:</strong> 5mg Mod GRF 1-29 / 5mg Ipamorelin</li><li><strong>Purity:</strong> ≥99.3%</li></ul>,,,taxable,,1,95,0,0,0.25,3.0,1.5,1.5,1,Research order confirmed. Analytical HPLC/MS batch report and cold-chain tracking dispatched.,64.00,85.00,Growth Hormone Secretagogues,"CJC-1295, Ipamorelin, dual synergy, GHRH, GHRP, pulsatile release",cold-chain-freight,"wp-content/themes/phoenics-theme/assets/images/products/cjcipam-vial.svg, wp-content/themes/phoenics-theme/assets/images/products/cjcipam-coa.svg, wp-content/themes/phoenics-theme/assets/images/products/cjcipam-pack.svg",,,,,,,,,0,Size / Scale,10mg Total (5mg/5mg),1,1,Package Configuration,"1 Vial, 3 Vials (10% Off), 5 Vials (15% Off), 10 Vials Kit (25% Off)",1,1
9,variable,PP-TESA,Tesamorelin Trans-3-Hexenoyl GHRH,1,0,visible,Stabilized GHRH derivative with trans-3-hexenoic acid moiety. Benchmark peptide for investigations into visceral adipocyte reduction. Purity: ≥99.2%.,<h3>Product Specification</h3><p><strong>Tesamorelin</strong> is a synthetic peptide analog of growth hormone-releasing factor.</p><ul><li><strong>CAS Number:</strong> 218949-48-5</li><li><strong>Purity:</strong> ≥99.2%</li></ul>,,,taxable,,1,95,0,0,0.25,3.0,1.5,1.5,1,Research order confirmed. Analytical HPLC/MS batch report and cold-chain tracking dispatched.,59.00,78.00,Growth Hormone Secretagogues,"Tesamorelin, visceral fat, lipodystrophy, GHRH, metabolic composition",cold-chain-freight,"wp-content/themes/phoenics-theme/assets/images/products/tesamorelin-vial.svg, wp-content/themes/phoenics-theme/assets/images/products/tesamorelin-coa.svg, wp-content/themes/phoenics-theme/assets/images/products/tesamorelin-pack.svg",,,,,,,,,0,Size / Scale,"2mg, 5mg, 10mg",1,1,Package Configuration,"1 Vial, 3 Vials (10% Off), 5 Vials (15% Off)",1,1
10,variable,PP-MK677,MK-677 (Ibutamoren Mesylate),1,0,visible,Potent orally bioavailable non-peptide ghrelin receptor agonist. Sustained induction of serum GH and IGF-1 secretion in vitro. Purity: ≥99.5%.,<h3>Product Specification</h3><p><strong>MK-677</strong> stimulates pituitary secretagogue receptor-1a.</p><ul><li><strong>CAS Number:</strong> 159752-10-0</li><li><strong>Purity:</strong> ≥99.5%</li></ul>,,,taxable,,1,95,0,0,0.25,3.0,1.5,1.5,1,Research order confirmed. Analytical HPLC/MS batch report and cold-chain tracking dispatched.,49.00,65.00,Growth Hormone Secretagogues,"MK-677, Ibutamoren, non-peptide secretagogue, IGF-1, ghrelin mimetic",cold-chain-freight,"wp-content/themes/phoenics-theme/assets/images/products/mk677-vial.svg, wp-content/themes/phoenics-theme/assets/images/products/mk677-coa.svg, wp-content/themes/phoenics-theme/assets/images/products/mk677-pack.svg",,,,,,,,,0,Size / Scale,"30ml Solution (25mg/ml), 60 Capsules (15mg)",1,1,Package Configuration,"1 Unit, 3 Units (10% Off), 5 Units (15% Off)",1,1
